bill_id,short_title,sponsor,co_sponsors,floor_sponsor,last_action,last_action_owner,subjects,num_substitutes,substitute_sponsors,active_version,subjects_changed,committees,money_appropriated,originating_chamber,final_chamber,sponsor_id,session_year,session_id
SB0017,Election Law Modifications,HARPEWA,None,PETERJA,Governor Signed,Lieutenant Governor's office for filing,Elections; Government Operations (State Issues),0,None,SB0017,False,House Government Operations Committee,None,Senate,,HARPEWA,2018,2018GS
SB0018,Subcommittee on Oversight Duties,DAVISG,None,WILSOBR,Governor Signed,Lieutenant Governor's office for filing,"Legislative Affairs; Committees, Legislative; Government Operations (State Issues)",0,None,SB0018,False,House Government Operations Committee,None,Senate,,DAVISG,2018,2018GS
SB0019,Competency to Stand Trial Amendments,FILLML,None,REDDEH,Governor Signed,Lieutenant Governor's office for filing,Substance Abuse; Mental Health; Human Services,0,None,SB0019S01,False,House Judiciary Committee,None,Senate,,FILLML,2018,2018GS
SB0020,Misdemeanor Amendments,THATCDW,None,ROBERMK,Governor Signed,Lieutenant Governor's office for filing,Law Enforcement and Criminal Justice; Punishments,0,None,SB0020S02,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Business and Labor Committee",None,Senate,,THATCDW,2018,2018GS
SB0021,Public Safety and Firefighter Retirement Death Benefit Amendments,MAYNEK,None,MOSSCS,Governor Signed,Lieutenant Governor's office for filing,Retirement; State Officers and Employees,0,None,SB0021S01,False,House Business and Labor Committee,None,Senate,,MAYNEK,2018,2018GS
SB0022,Mineral Lease Distribution Amendments,VANTAKT,None,CHEWSH,Governor Signed,Lieutenant Governor's office for filing,State Lands; Mineral Lease Funds; Natural Resources; Government Operations (State Issues),0,None,SB0022,False,"House Natural Resources, Agriculture, and Environment Committee",None,Senate,,VANTAKT,2018,2018GS
SB0023,Government Operations Committee Amendments,HARPEWA,None,PETERJA,Governor Signed,Lieutenant Governor's office for filing,"Legislature; Legislative Affairs; Committees, Legislative; Government Operations (State Issues)",0,None,SB0023,False,House Government Operations Committee,None,Senate,,HARPEWA,2018,2018GS
SB0024,Local Government Indigent Defense Requirement,THATCDW,None,SNOWVL,Governor Signed,Lieutenant Governor's office for filing,Local Governments; Political Subdivisions (Local Issues),0,None,SB0024,False,House Political Subdivisions Committee,None,Senate,,THATCDW,2018,2018GS
SB0025,Divorce Process Amendments,WEILET,None,SNOWVL,Became Law w/o Governor Signature,Lieutenant Governor's office for filing,Family; Marriage / Divorce; Judiciary,0,None,SB0025S01,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Judiciary Committee",None,Senate,,WEILET,2018,2018GS
SB0026,Campaign Finance Amendments,HARPEWA,None,ARENTPM,Governor Signed,Lieutenant Governor's office for filing,Government Operations (State Issues); Campaign Finance,0,None,SB0026,False,House Government Operations Committee,None,Senate,,HARPEWA,2018,2018GS
SB0027,Relationship Violence and Offenses Amendments,WEILET,None,ROMERAY,Governor Signed,Lieutenant Governor's office for filing,Domestic Violence; Judiciary; Law Enforcement and Criminal Justice; Public Safety,0,None,SB0027S02,False,House Law Enforcement and Criminal Justice Committee,None,Senate,,WEILET,2018,2018GS
SB0028,Local Government and Limited Purpose Entity Registry,HENDEDM,None,HALLHC,Governor Signed,Lieutenant Governor's office for filing,Limited Purpose Local Government Entities; Political Subdivisions (Local Issues),0,None,SB0028S01,False,House Political Subdivisions Committee,None,Senate,,HENDEDM,2018,2018GS
SB0029,County Listing of Local Government and Limited Purpose Entities,HENDEDM,None,HALLHC,Governor Signed,Lieutenant Governor's office for filing,Local Governments; Political Subdivisions (Local Issues),0,None,SB0029,False,House Political Subdivisions Committee,None,Senate,,HENDEDM,2018,2018GS
SB0030,Aggravated Murder Amendments,MAYNEK,None,RAYP,Governor Signed,Lieutenant Governor's office for filing,Emergency Management; Criminal Code; Law Enforcement and Criminal Justice,0,None,SB0030S01,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee",None,Senate,,MAYNEK,2018,2018GS
SB0031,Utah Mobile Crisis Outreach Team Act,THATCDW,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Mental Health; Political Subdivisions (Local Issues); Human Services,0,None,SB0031S01,False,House Health and Human Services Committee,None,Senate,,THATCDW,2018,2018GS
SB0032,Mental Health Crisis Line Commission Sunset Amendments,THATCDW,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Mental Health; Political Subdivisions (Local Issues); Human Services,0,None,SB0032,False,House Health and Human Services Committee,None,Senate,,THATCDW,2018,2018GS
SB0033,DNA Amendments,HILLYLW,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Criminal Code; Judiciary; Fees,0,None,SB0033,False,House Law Enforcement and Criminal Justice Committee,None,Senate,,HILLYLW,2018,2018GS
SB0034,Legislative Water Development Commission Amendments,DAYTOM,None,GROVEK,Governor Signed,Lieutenant Governor's office for filing,Natural Resources; Water and Irrigation; Sunset Legislation,0,None,SB0034,False,"House Natural Resources, Agriculture, and Environment Committee",None,Senate,,DAYTOM,2018,2018GS
SB0035,Water Right for Trout Habitat Repeal Date Extension,CHRISAM,None,SANDASD,Governor Signed,Lieutenant Governor's office for filing,Natural Resources; Wildlife,0,None,SB0035,False,"House Natural Resources, Agriculture, and Environment Committee",None,Senate,,CHRISAM,2018,2018GS
SB0036,Local Option Sales and Use Tax Distribution Formula Amendments,STEPHHA,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Sales and Use Tax; Revenue and Taxation,0,None,SB0036,False,House Revenue and Taxation Committee,None,Senate,,STEPHHA,2018,2018GS
SB0037,Sales and Use Tax Exemption Amendments,STEPHHA,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Sales and Use Tax; Revenue and Taxation,0,None,SB0037,False,House Revenue and Taxation Committee,None,Senate,,STEPHHA,2018,2018GS
SB0038,Local Elected Officer Amendments,THATCDW,None,HALLHC,Governor Signed,Lieutenant Governor's office for filing,Local Governments; Political Subdivisions (Local Issues),0,None,SB0038,False,House Government Operations Committee,None,Senate,,THATCDW,2018,2018GS
SB0039,Business Entity Amendments,BRAMBCS,None,ELIASS,Governor Signed,Lieutenant Governor's office for filing,Negotiable Certificates; Business,0,None,SB0039,False,Senate Business and Labor Committee; House Business and Labor Committee,None,Senate,,BRAMBCS,2018,2018GS
SB0040,Workers' Compensation Dependent Benefit Amendments,MAYNEK,None,DUNNIJA,Governor Signed,Lieutenant Governor's office for filing,Workers' Compensation; Labor,0,None,SB0040S01,False,Senate Economic Development and Workforce Services Committee; House Business and Labor Committee,None,Senate,,MAYNEK,2018,2018GS
SB0041,Support Special Group Historical License Plate,FILLML,None,MCCAYD,Governor Signed,Lieutenant Governor's office for filing,License Plates; Transportation,0,None,SB0041S02,False,Senate Business and Labor Committee,None,Senate,,FILLML,2018,2018GS
SB0042,Sunset Amendments for State Services Agreements,MAYNEK,None,MCKELMK,Governor Signed,Lieutenant Governor's office for filing,Government Operations (State Issues); Federal Government,0,None,SB0042,False,Senate Government Operations and Political Subdivisions Committee; House Government Operations Committee,None,Senate,,MAYNEK,2018,2018GS
SB0043,State Dinosaur Amendment,BRAMBCS,None,MCKELMK,Governor Signed,Lieutenant Governor's office for filing,Government Operations (State Issues); State Symbols and Designations,0,None,SB0043S01,False,House Political Subdivisions Committee; Senate Economic Development and Workforce Services Committee,None,Senate,,BRAMBCS,2018,2018GS
SB0044,Impoundment of Motor Vehicle Amendments,FILLML,None,THURSNK,Governor Signed,Lieutenant Governor's office for filing,Motor Vehicles; Transportation,0,None,SB0044,False,"House Transportation Committee; Senate Transportation, Public Utilities, Energy, and Technology Committee",None,Senate,,FILLML,2018,2018GS
SB0045,Water Law Amendments -- Diligence Claims,DAYTOM,None,NOELME,Governor Signed,Lieutenant Governor's office for filing,Natural Resources; Water and Irrigation,0,None,SB0045,False,"Senate Natural Resources, Agriculture, and Environment Committee; House Natural Resources, Agriculture, and Environment Committee",None,Senate,,DAYTOM,2018,2018GS
SB0046,Adjustment of Limits on Damages,IWAMOJ,None,SNOWVL,Governor Signed,Lieutenant Governor's office for filing,Government Operations (State Issues),0,None,SB0046,False,Senate Government Operations and Political Subdivisions Committee; House Government Operations Committee,None,Senate,,IWAMOJ,2018,2018GS
SB0047,Medicaid Expansion Amendments,DAVISG,None,,Senate/ filed,Senate file for bills not passed,Health; Medicaid,0,None,SB0047,False,,None,Senate,,DAVISG,2018,2018GS
SB0048,Medicaid Waiting Period Amendments,CHRISAM,None,,Senate/ filed,Senate file for bills not passed,Health; Medicaid,0,None,SB0048,False,,None,Senate,,CHRISAM,2018,2018GS
SB0049,Special Needs Trust Amendments,HILLYLW,None,REDDEH,Governor Signed,Lieutenant Governor's office for filing,Human Services; Disabilities,0,None,SB0049,False,"Senate Judiciary, Law Enforcement, and Criminal Justice Committee; House Judiciary Committee",None,Senate,,HILLYLW,2018,2018GS
